url;country;date;Fahrzeughalter;Garantie;Scheckheftgepflegt;Nichtraucherfahrzeug;Marke;Modell;Angebotsnummer;Erstzulassung;Außenfarbe;Lackierung;Innenausstattung;Karosserieform;Anzahl Türen;Sitzplätze;Getriebeart;Hubraum;Kraftstoff;Schadstoffklasse;Feinstaubplakette;Leistung;Kilometerstand;Getriebe;Kraftstoffverbr.*;Ausstattung;haendler;ort;price;Einparkhilfe Sensoren hinten;Multifunktionslenkrad;Sprachsteuerung;Servolenkung;Rechtslenker;Notbremsassistent;Alufelgen;USB;Kopfairbag;Regensensor;TV;Elektrische Heckklappe;Sitzheizung;ABS;Lederlenkrad;Elektrische Seitenspiegel;Reifendruckkontrollsystem;Bordcomputer;Schlüssellose Zentralverriegelung;Behindertengerecht;Soundsystem;MP3;Xenonscheinwerfer;Einparkhilfe selbstlenkendes System;Spurhalteassistent;Notrufsystem;Skisack;LED-Tagfahrlicht;Katalysator;Kurvenlicht;Abstandstempomat;Bluetooth;Beheizbares Lenkrad;Elektr. Fensterheber;ESP;Beifahrerairbag;Zentralverriegelung mit Funkfernbedienung;Start/Stop-Automatik;teilb. Rücksitzbank;Sportpaket;Panoramadach;Winterreifen;Verkehrszeichenerkennung;Nachtsicht-Assistent;Wegfahrsperre;LED-Scheinwerfer;Schiebetür;Tempomat;Scheiben;Touchscreen;Schiebedach;Freisprecheinrichtung;Radio;Lichtsensor;Armlehne;Massagesitze;Head-up display;Alarmanlage;Beheizbare Frontscheibe;Müdigkeitswarnsystem;Schaltwippen;Fahrerairbag;Sportsitze;Klimaanlage;CD;Windschott(für Cabrio);Tuning;Traktionskontrolle;Tagfahrlicht;Seitenairbag;Luftfederung;Nebelscheinwerfer;Isofix;Airbag hinten;Berganfahrassistent;Zentralverriegelung;Totwinkel-Assistent;Standheizung;Lordosenstütze;Einparkhilfe Sensoren vorne;Sitzbelüftung;Getönte;Klimaautomatik;Einparkhilfe Kamera;Navigationssystem;Elektrische Sitze;Sportfahrwerk;DAB-Radio;Dachreling;Anhängerkupplung;Schlüsselnummer;HU Prüfung;HU/AU neu;Farbe laut Hersteller
/angebote/bmw-120-i-aut-eu6dt-m-sport-shadow-led-navi-leder-shz-pdc-benzin-grau-11583936-9997-40e4-9fc7-ca1c42a21078;Deutschland;2020-04-04 21:26:39.192804;1;False;;;BMW;120;374;2019;Grau;Metallic;Vollleder, Schwarz;Limousine;5;5;Automatik;1.998 cm³;Benzin;Euro 6d-TEMP;4 (Grün);135 kW / 184 PS;13.700 km;Automatik;5.9 l/100 km (komb);55 Ausstattungsmerkmale;True;75438 Knittlingen;23990;True;True;True;True;False;False;True;True;False;True;False;False;True;True;True;True;True;True;True;False;False;True;True;False;False;True;False;True;True;False;False;True;False;True;True;True;False;True;False;True;False;False;True;False;True;True;False;True;False;False;False;True;True;True;True;False;False;False;False;False;False;True;True;True;True;False;False;True;True;True;False;True;True;False;True;True;False;False;True;True;False;False;True;False;True;False;True;False;False;False;0005/CHX;;Ja;mineralgrau
/angebote/bmw-120-i-advantage-aut-navi-pdc-business-paket-alu-benzin-schwarz-86da5d3c-9368-4444-b67b-9671d98929d7;Deutschland;2020-04-04 21:26:40.105124;1;False;;;BMW;120;YJ91799;2018;Schwarz;;Stoff, Schwarz;Limousine;4;5;Automatik;1.998 cm³;Benzin;Euro 6;4 (Grün);135 kW / 184 PS;27.987 km;Automatik;5.5 l/100 km (komb);43 Ausstattungsmerkmale;True;70499 Stuttgart;19950;True;True;False;True;False;False;True;False;False;True;False;False;True;True;True;True;True;True;True;False;True;False;False;False;False;True;False;True;False;False;False;True;False;True;True;True;False;True;False;False;False;False;False;False;True;False;False;True;False;False;False;True;True;True;True;False;False;False;False;False;False;True;False;True;True;False;False;True;True;True;False;True;True;False;False;True;False;False;True;True;False;False;True;False;True;False;False;False;False;False;;;;
/angebote/bmw-120-ia-m-sport-navi-pdc-shz-alarm-benzin-schwarz-f9215a0c-b41d-4aa2-b07a-67ddb4903e9f;Deutschland;2020-04-04 21:26:41.379291;2;False;;;BMW;120;WV00675;2017;Schwarz;Metallic;Vollleder, Schwarz;Limousine;4;5;Automatik;1.998 cm³;Benzin;Euro 6;4 (Grün);135 kW / 184 PS;30.482 km;Automatik;5.5 l/100 km (komb);48 Ausstattungsmerkmale;True;90441 Nürnberg;21050;True;True;False;True;False;False;True;True;False;True;False;False;True;True;True;True;True;True;True;False;False;False;False;False;False;True;False;False;False;False;False;True;False;True;True;True;False;True;False;True;False;False;True;False;True;True;False;True;False;False;False;True;True;True;True;False;False;True;False;False;False;True;True;True;True;False;False;True;False;True;False;True;True;False;True;True;False;False;True;True;False;False;True;False;True;False;True;False;False;False;;;;
/angebote/bmw-120-ia-m-sport-navi-pdc-shz-alarm-benzin-schwarz-bcb2a43e-86ab-42b9-b505-092980e1544b;Deutschland;2020-04-04 21:26:42.479103;2;False;;;BMW;120;WV00675;2017;Schwarz;Metallic;Vollleder, Schwarz;Limousine;4;5;Automatik;1.998 cm³;Benzin;Euro 6;4 (Grün);135 kW / 184 PS;30.482 km;Automatik;5.5 l/100 km (komb);48 Ausstattungsmerkmale;True;70499 Stuttgart;21050;True;True;False;True;False;False;True;True;False;True;False;False;True;True;True;True;True;True;True;False;False;False;False;False;False;True;False;False;False;False;False;True;False;True;True;True;False;True;False;True;False;False;True;False;True;True;False;True;False;False;False;True;True;True;True;False;False;True;False;False;False;True;True;True;True;False;False;True;False;True;False;True;True;False;True;True;False;False;True;True;False;False;True;False;True;False;True;False;False;False;;;;
/angebote/bmw-120-i-aut-m-paket-navi-xenon-leder-alu-euro-6-benzin-grau-dcd21164-8372-4f8a-a1d8-553f7df381b2;Deutschland;2020-04-04 21:26:43.505164;;False;;;BMW;120;048/20;2016;Grau;Metallic;Alcantara, Schwarz;Limousine;4;5;Automatik;1.598 cm³;Benzin;Euro 6;4 (Grün);130 kW / 177 PS;48.500 km;Automatik;5.7 l/100 km (komb);46 Ausstattungsmerkmale;True;50259 Pulheim;19990;True;True;True;True;False;False;True;True;False;True;False;False;False;True;True;True;True;True;False;False;True;False;True;False;False;False;False;True;False;True;False;True;False;True;True;True;False;True;False;True;False;False;True;False;True;False;False;True;False;False;False;False;True;False;True;False;False;False;False;False;False;True;True;True;True;False;False;True;True;True;False;True;True;False;False;True;False;False;True;True;False;False;True;False;True;False;True;False;False;False;0005/BZV;10/2021;;
/angebote/bmw-120-da-advantage-navi-led-acc-pdcv-h-temp-e6-diesel-schwarz-08289df9-4820-40aa-9629-df4b55676e28;Deutschland;2020-04-04 21:26:44.417536;1;False;;;BMW;120;01303;2017;Schwarz;Metallic;Stoff, Grau;Limousine;5;5;Automatik;1.995 cm³;Diesel;Euro 6;4 (Grün);140 kW / 190 PS;112.000 km;Automatik;3.9 l/100 km (komb);47 Ausstattungsmerkmale;True;63303 Dreieich;16650;True;True;False;True;False;False;False;True;False;True;False;False;True;True;True;True;True;True;False;False;False;True;False;False;False;False;False;True;False;False;True;True;False;True;True;True;False;True;False;False;False;False;True;False;True;True;False;True;False;False;False;True;True;True;True;False;False;True;False;False;False;True;True;True;True;False;False;True;True;True;False;True;True;False;False;True;False;False;True;True;False;False;True;False;True;False;False;False;False;False;0005/CAC;;Ja;BLACK SAPPHIRE METALLIC
/angebote/bmw-120-d-xenon-pdc-navi-sitzheizung-glasdach-diesel-schwarz-f1bc552b-6a0d-46e7-bd40-b938389b260f;Deutschland;2020-04-04 21:26:45.446558;2;False;;;BMW;120;0005AHY;2009;Schwarz;Metallic;Stoff, Schwarz;Limousine;4;5;Schaltgetriebe;1.995 cm³;Diesel;Euro 4;4 (Grün);130 kW / 177 PS;229.000 km;Schaltgetriebe;5.5 l/100 km (komb);34 Ausstattungsmerkmale;True;86529 Schrobenhausen;4777;True;True;False;True;False;False;True;False;False;False;False;False;True;True;True;True;False;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;True;True;True;False;True;False;False;False;False;False;False;True;False;False;True;False;False;True;False;True;True;True;False;False;False;False;False;False;True;False;True;True;False;False;False;False;True;False;True;True;False;False;True;False;False;False;False;False;False;True;False;True;False;False;False;False;False;;;Ja;BLACK SAPPHIRE METALLIC
/angebote/bmw-120-i-advantage-aut-navi-pdc-business-paket-alu-benzin-schwarz-5d7d6887-12ee-449f-92e1-d34e14b905ca;Deutschland;2020-04-04 21:26:46.459017;1;False;;;BMW;120;YJ91799;2018;Schwarz;;Stoff, Schwarz;Limousine;4;5;Automatik;1.998 cm³;Benzin;Euro 6;4 (Grün);135 kW / 184 PS;27.987 km;Automatik;5.5 l/100 km (komb);43 Ausstattungsmerkmale;True;90441 Nürnberg;19950;True;True;False;True;False;False;True;False;False;True;False;False;True;True;True;True;True;True;True;False;True;False;False;False;False;True;False;True;False;False;False;True;False;True;True;True;False;True;False;False;False;False;False;False;True;False;False;True;False;False;False;True;True;True;True;False;False;False;False;False;False;True;False;True;True;False;False;True;True;True;False;True;True;False;False;True;False;False;True;True;False;False;True;False;True;False;False;False;False;False;;;;
/angebote/bmw-120-d-advantage-glasdach-navi-alu-pdc-shz-diesel-braun-946c1ffe-4d11-40ef-833e-e2f724438674;Deutschland;2020-04-04 21:26:47.376233;2;False;;;BMW;120;RM92810;2016;Braun;Metallic;Stoff, Schwarz;Limousine;4;5;Schaltgetriebe;1.995 cm³;Diesel;Euro 6;4 (Grün);140 kW / 190 PS;44.468 km;Schaltgetriebe;4.1 l/100 km (komb);47 Ausstattungsmerkmale;True;90441 Nürnberg;15000;True;True;False;True;False;False;True;True;False;True;False;False;True;True;True;True;True;True;True;False;True;False;False;False;False;True;False;False;False;False;False;True;True;True;True;True;False;True;False;False;True;False;False;False;True;False;False;True;False;False;True;True;True;True;True;False;False;False;False;False;False;True;False;True;True;False;False;True;True;True;False;True;True;False;False;True;False;False;True;True;False;False;True;False;True;False;False;False;False;False;;;;
/angebote/bmw-120-i-advantage-navi-led-hifi-keyless-1-hand-benzin-grau-99a8d970-9f51-4dd0-8069-cfda4d44f213;Deutschland;2020-04-04 21:26:48.323506;1;False;;;BMW;120;YH17640;2018;Grau;Metallic;Stoff, Schwarz;Limousine;4;5;Automatik;1.998 cm³;Benzin;Euro 6;4 (Grün);135 kW / 184 PS;7.430 km;Automatik;5.5 l/100 km (komb);49 Ausstattungsmerkmale;True;70499 Stuttgart;22990;True;True;True;True;False;False;True;True;False;True;False;False;True;True;True;True;True;True;True;False;True;False;False;False;False;True;False;True;False;False;False;True;False;True;True;True;False;True;False;False;False;False;False;False;True;True;False;True;False;False;False;True;True;True;True;False;False;False;False;False;False;True;False;True;True;False;False;True;True;True;False;True;True;False;True;True;False;False;True;True;False;False;True;True;True;False;False;False;False;False;;;Ja;
