url;country;date;HU Prüfung;Garantie;Scheckheftgepflegt;Nichtraucherfahrzeug;Marke;Modell;Angebotsnummer;Erstzulassung;Außenfarbe;Lackierung;Innenausstattung;Karosserieform;Anzahl Türen;Sitzplätze;Schlüsselnummer;Getriebeart;Hubraum;Kraftstoff;Schadstoffklasse;Feinstaubplakette;Leistung;Kilometerstand;Getriebe;Kraftstoffverbr.*;Ausstattung;haendler;ort;price;Behindertengerecht;Dachreling;Schaltwippen;Head-up display;Beheizbare Frontscheibe;Sitzheizung;Traktionskontrolle;Spurhalteassistent;Winterreifen;Sportfahrwerk;Schiebetür;Tempomat;Panoramadach;Einparkhilfe Kamera;Regensensor;Servolenkung;Elektr. Fensterheber;Reifendruckkontrollsystem;Sprachsteuerung;Lederlenkrad;Kopfairbag;Anhängerkupplung;Beheizbares Lenkrad;Abstandstempomat;Nachtsicht-Assistent;Zentralverriegelung;Lichtsensor;Wegfahrsperre;ESP;DAB-Radio;Einparkhilfe selbstlenkendes System;Müdigkeitswarnsystem;Soundsystem;Schlüssellose Zentralverriegelung;Tuning;Tagfahrlicht;Notbremsassistent;Klimaautomatik;USB;Beifahrerairbag;Zentralverriegelung mit Funkfernbedienung;Freisprecheinrichtung;Navigationssystem;Massagesitze;Fahrerairbag;Elektrische Seitenspiegel;Armlehne;Getönte;teilb. Rücksitzbank;Seitenairbag;LED-Tagfahrlicht;MP3;Radio;Luftfederung;Airbag hinten;Nebelscheinwerfer;Alufelgen;Katalysator;Bluetooth;Lordosenstütze;Scheiben;Alarmanlage;Elektrische Heckklappe;Schiebedach;Windschott(für Cabrio);Xenonscheinwerfer;Totwinkel-Assistent;Bordcomputer;Multifunktionslenkrad;CD;Klimaanlage;Start/Stop-Automatik;Elektrische Sitze;Isofix;Verkehrszeichenerkennung;TV;Sportsitze;Touchscreen;Kurvenlicht;Standheizung;Notrufsystem;Einparkhilfe Sensoren hinten;ABS;Skisack;LED-Scheinwerfer;Sportpaket;Sitzbelüftung;Berganfahrassistent;Rechtslenker;Einparkhilfe Sensoren vorne;Fahrzeughalter;HU/AU neu;Farbe laut Hersteller
/angebote/bmw-120-120d-limited-edition-m-paket-steuerkette-neu-diesel-blau-3eb776a2-e7c5-1460-e053-e350040a68ad;Deutschland;2020-04-04 21:23:17.924922;01/2020;False;;;BMW;120;;2007;Blau;Metallic;Teilleder, Schwarz;Limousine;3;4;0005/ARQ;Schaltgetriebe;1.995 cm³;Diesel (Rußpartikelfilter);Euro 5;4 (Grün);;;;;;False;48653 Coesfeld;8600;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;True;True;True;False;True;True;False;False;False;False;True;False;True;True;False;False;False;False;False;False;False;True;True;False;True;False;False;False;False;True;True;False;False;False;True;False;True;True;False;False;True;True;True;False;False;False;False;False;False;False;False;False;True;True;True;True;True;False;True;False;False;True;False;False;False;False;False;True;False;False;True;False;False;False;False;;;
/angebote/bmw-120-i-advantage-xenon-schiebedach-komfort-paket-benzin-blau-7d1ce091-5197-48ac-9693-a8dc654b00fb;Deutschland;2020-04-04 21:23:18.871498;;False;;;BMW;120;PG70597;2009;Blau;Metallic;Stoff, Schwarz;Limousine;2;5;;Schaltgetriebe;1.995 cm³;Benzin;Euro 5;4 (Grün);125 kW / 170 PS;85.250 km;Schaltgetriebe;8.0 l/100 km (komb);41 Ausstattungsmerkmale;True;70499 Stuttgart;8510;False;False;False;False;False;True;True;False;False;False;False;True;True;False;True;True;True;True;False;True;False;False;False;False;False;True;True;True;True;False;False;False;True;True;False;False;False;True;False;True;False;True;False;False;True;True;True;False;False;True;False;False;True;False;False;True;True;False;True;False;False;False;False;True;False;True;False;True;True;True;True;True;False;True;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;True;3;;
/angebote/bmw-120-i-m-sport-aut-navi-schiebedach-kamera-benzin-grau-77242a1e-27ce-4a06-b4da-596ed0289006;Deutschland;2020-04-04 21:23:19.807237;;False;;;BMW;120;EW83060;2017;Grau;Metallic;Vollleder, Schwarz;Limousine;4;5;;Automatik;1.998 cm³;Benzin;Euro 6;4 (Grün);135 kW / 184 PS;11.786 km;Automatik;5.5 l/100 km (komb);52 Ausstattungsmerkmale;True;70499 Stuttgart;22790;False;False;False;False;False;True;True;False;False;True;False;True;False;True;True;True;True;True;True;True;False;False;False;False;False;True;True;True;True;False;False;False;False;True;False;True;False;True;True;True;False;True;True;False;True;True;True;False;False;True;True;False;True;False;False;True;True;False;True;True;False;True;False;True;False;False;False;True;True;True;True;True;True;True;False;False;True;False;False;False;True;True;True;False;False;True;False;True;False;True;2;;
/angebote/bmw-120-i-advantage-xenon-schiebedach-komfort-paket-benzin-blau-727e5389-baa0-4fbf-a351-0b3ecb8b3f75;Deutschland;2020-04-04 21:23:20.860310;;False;;;BMW;120;PG70597;2009;Blau;Metallic;Stoff, Schwarz;Limousine;2;5;;Schaltgetriebe;1.995 cm³;Benzin;Euro 5;4 (Grün);125 kW / 170 PS;85.250 km;Schaltgetriebe;8.0 l/100 km (komb);41 Ausstattungsmerkmale;True;90441 Nürnberg;8510;False;False;False;False;False;True;True;False;False;False;False;True;True;False;True;True;True;True;False;True;False;False;False;False;False;True;True;True;True;False;False;False;True;True;False;False;False;True;False;True;False;True;False;False;True;True;True;False;False;True;False;False;True;False;False;True;True;False;True;False;False;False;False;True;False;True;False;True;True;True;True;True;False;True;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;True;3;;
/angebote/bmw-120-i-edition-m-sport-shadow-aut-leder-navi-benzin-blau-d948d31e-ea3e-45ec-9669-aa17fe90316c;Deutschland;2020-04-04 21:23:22.013921;;False;;;BMW;120;ME75607;2019;Blau;Metallic;Vollleder, Schwarz;Limousine;4;5;;Automatik;1.998 cm³;Benzin;Euro 6;4 (Grün);135 kW / 184 PS;11.741 km;Automatik;5.9 l/100 km (komb);56 Ausstattungsmerkmale;True;70499 Stuttgart;26000;False;False;True;False;False;True;True;False;False;True;False;False;True;False;True;True;True;True;True;True;False;False;False;True;False;True;True;True;True;True;False;False;True;True;False;True;False;True;True;True;False;True;True;False;True;True;True;False;False;True;True;False;True;False;False;True;True;False;True;True;False;True;False;True;False;False;False;True;True;True;True;True;False;True;False;False;True;False;True;False;True;True;True;False;True;True;False;True;False;True;1;;
/angebote/bmw-120-i-aut-eu6dt-m-sport-shadow-led-navi-leder-shz-pdc-benzin-grau-11583936-9997-40e4-9fc7-ca1c42a21078;Deutschland;2020-04-04 21:23:22.984946;;False;;;BMW;120;374;2019;Grau;Metallic;Vollleder, Schwarz;Limousine;5;5;0005/CHX;Automatik;1.998 cm³;Benzin;Euro 6d-TEMP;4 (Grün);135 kW / 184 PS;13.700 km;Automatik;5.9 l/100 km (komb);55 Ausstattungsmerkmale;True;75438 Knittlingen;23990;False;False;False;False;False;True;True;False;False;True;False;True;False;False;True;True;True;True;True;True;False;False;False;False;False;True;True;True;True;False;False;False;False;True;False;True;False;True;True;True;False;True;True;False;True;True;True;False;False;True;True;True;True;False;False;True;True;True;True;True;False;False;False;False;False;True;False;True;True;True;True;True;False;True;True;False;True;False;False;False;True;True;True;False;True;True;False;True;False;True;1;Ja;mineralgrau
/angebote/bmw-120-d-xenon-pdc-navi-sitzheizung-glasdach-diesel-schwarz-f1bc552b-6a0d-46e7-bd40-b938389b260f;Deutschland;2020-04-04 21:23:24.094746;;False;;;BMW;120;0005AHY;2009;Schwarz;Metallic;Stoff, Schwarz;Limousine;4;5;;Schaltgetriebe;1.995 cm³;Diesel;Euro 4;4 (Grün);130 kW / 177 PS;229.000 km;Schaltgetriebe;5.5 l/100 km (komb);34 Ausstattungsmerkmale;True;86529 Schrobenhausen;4777;False;False;False;False;False;True;False;False;False;False;False;True;False;False;False;True;True;False;False;True;False;False;False;False;False;True;True;True;True;False;False;False;False;False;False;False;False;True;False;True;False;False;True;False;True;True;True;False;False;True;False;False;True;False;False;True;True;False;False;False;False;False;False;True;False;True;False;True;True;True;True;True;False;True;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;2;Ja;BLACK SAPPHIRE METALLIC
/angebote/bmw-120-i-advantage-navi-led-hifi-keyless-1-hand-benzin-grau-a2b5b269-7918-4567-a1f7-cd6e7ff9df60;Deutschland;2020-04-04 21:23:25.026872;;False;;;BMW;120;YH17640;2018;Grau;Metallic;Stoff, Schwarz;Limousine;4;5;;Automatik;1.998 cm³;Benzin;Euro 6;4 (Grün);135 kW / 184 PS;7.430 km;Automatik;5.5 l/100 km (komb);49 Ausstattungsmerkmale;True;90441 Nürnberg;22990;False;False;False;False;False;True;True;False;False;False;False;True;False;True;True;True;True;True;True;True;False;False;False;False;False;True;True;True;True;False;False;False;True;True;False;True;False;True;True;True;False;True;True;False;True;True;True;False;False;True;True;False;True;False;False;True;True;False;True;True;False;False;False;False;False;False;False;True;True;True;True;True;False;True;False;False;False;False;False;False;True;True;True;False;True;False;False;True;False;True;1;Ja;
/angebote/bmw-120-ia-m-sport-navi-pdc-shz-alarm-benzin-schwarz-bcb2a43e-86ab-42b9-b505-092980e1544b;Deutschland;2020-04-04 21:23:25.954694;;False;;;BMW;120;WV00675;2017;Schwarz;Metallic;Vollleder, Schwarz;Limousine;4;5;;Automatik;1.998 cm³;Benzin;Euro 6;4 (Grün);135 kW / 184 PS;30.482 km;Automatik;5.5 l/100 km (komb);48 Ausstattungsmerkmale;True;70499 Stuttgart;21050;False;False;False;False;False;True;True;False;False;True;False;True;False;False;True;True;True;True;False;True;False;False;False;False;False;True;True;True;True;False;False;False;False;True;False;False;False;True;True;True;False;True;True;False;True;True;True;False;False;True;False;False;True;False;False;True;True;False;True;True;False;True;False;False;False;False;False;True;True;True;True;True;False;True;True;False;True;False;False;False;True;True;True;False;True;True;False;True;False;True;2;;
/angebote/bmw-120-d-advantage-glasdach-navi-alu-pdc-shz-diesel-braun-47faaf2c-c56f-409a-851c-4f2a3b5f7f7b;Deutschland;2020-04-04 21:23:26.875537;;False;;;BMW;120;RM92810;2016;Braun;Metallic;Stoff, Schwarz;Limousine;4;5;;Schaltgetriebe;1.995 cm³;Diesel;Euro 6;4 (Grün);140 kW / 190 PS;44.468 km;Schaltgetriebe;4.1 l/100 km (komb);47 Ausstattungsmerkmale;True;70499 Stuttgart;15000;False;False;False;False;False;True;True;False;False;False;False;True;True;False;True;True;True;True;False;True;False;False;True;False;False;True;True;True;True;False;False;False;True;True;False;True;False;True;True;True;False;True;True;False;True;True;True;False;False;True;False;False;True;False;False;True;True;False;True;True;False;False;False;True;False;False;False;True;True;True;True;True;False;True;False;False;False;False;False;False;True;True;True;False;False;False;False;False;False;True;2;;
